MergedCellType	cell_type	data_source	feature_DHS	feature_ATAC	feature_H3K27ac	default_accessibility_feature	hic_cell_type	RNA_tpm_file	genome	ABCPredictionsForGWAS	nEnhancers	ABCEnhancers	Neighborhoods	Predictions	bedpe
THP_pmaLPS_ATAC_2h	THP_pmaLPS_ATAC_2h	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_2h/THP_pmaLPS_ATAC_5_2h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_2h/THP_pmaLPS_ATAC_6_2h.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_2h/THP1pmaLPS_K27ac_5_2h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_2h/THP1pmaLPS_K27ac_6_2h.sorted.unique_alignment.bam	ATAC	THP1	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_2h/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_2h/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_2h/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_2h/Predictions_AvgHiC//EnhancerPredictions.bedpe
THP_pmaLPS_ATAC_6h	THP_pmaLPS_ATAC_6h	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_6h/THP_pmaLPS_ATAC_7_6h.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_6h/THP1pmaLPS_K27ac_7_6h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_6h/THP1pmaLPS_K27ac_8_6h.sorted.unique_alignment.bam	ATAC	THP1	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_6h/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_6h/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_6h/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_6h/Predictions_AvgHiC//EnhancerPredictions.bedpe
THP_pmaLPS_ATAC_12h	THP_pmaLPS_ATAC_12h	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_12h/THP_pmaLPS_ATAC_10_12h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_12h/THP_pmaLPS_ATAC_9_12h.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_12h/THP1pmaLPS_K27ac_10_12h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_12h/THP1pmaLPS_K27ac_9_12h.sorted.unique_alignment.bam	ATAC	THP1	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_12h/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_12h/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_12h/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_12h/Predictions_AvgHiC//EnhancerPredictions.bedpe
THP_pmaLPS_ATAC_24h	THP_pmaLPS_ATAC_24h	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_24h/THP_pmaLPS_ATAC_11_24h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_24h/THP_pmaLPS_ATAC_12_24h.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_24h/THP1pmaLPS_K27ac_11_24h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_24h/THP1pmaLPS_K27ac_12_24h.sorted.unique_alignment.bam	ATAC	THP1	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_24h/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_24h/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_24h/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_24h/Predictions_AvgHiC//EnhancerPredictions.bedpe
THP_pmaLPS_ATAC_48h	THP_pmaLPS_ATAC_48h	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_48h/THP_pmaLPS_ATAC_13_48h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_48h/THP_pmaLPS_ATAC_14_48h.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_48h/THP1pmaLPS_K27ac_13_48h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_48h/THP1pmaLPS_K27ac_14_48h.sorted.unique_alignment.bam	ATAC	THP1	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_48h/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_48h/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_48h/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_48h/Predictions_AvgHiC//EnhancerPredictions.bedpe
THP_pmaLPS_ATAC_72h	THP_pmaLPS_ATAC_72h	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_72h/THP_pmaLPS_ATAC_15_72h.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_72h/THP1pmaLPS_K27ac_15_72h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_72h/THP1pmaLPS_K27ac_16_72h.sorted.unique_alignment.bam	ATAC	THP1	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_72h/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_72h/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_72h/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_72h/Predictions_AvgHiC//EnhancerPredictions.bedpe
THP_pmaLPS_ATAC_96h	THP_pmaLPS_ATAC_96h	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_96h/THP_pmaLPS_ATAC_17_96h.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_96h/THP1pmaLPS_K27ac_17_96h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_96h/THP1pmaLPS_K27ac_18_96h.sorted.unique_alignment.bam	ATAC	THP1	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_96h/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_96h/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_96h/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_96h/Predictions_AvgHiC//EnhancerPredictions.bedpe
THP_pmaLPS_ATAC_120h	THP_pmaLPS_ATAC_120h	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_120h/THP_pmaLPS_ATAC_19_120h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_120h/THP_pmaLPS_ATAC_20_120h.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_120h/THP1pmaLPS_K27ac_19_120h.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/THP_pmaLPS_ATAC_120h/THP1pmaLPS_K27ac_20_120h.sorted.unique_alignment.bam	ATAC	THP1	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_120h/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_120h/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_120h/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/THP_pmaLPS_ATAC_120h/Predictions_AvgHiC//EnhancerPredictions.bedpe
HT29	HT29	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/HT29/ENCFF419ETM.bam,/oak/stanford/groups/engreitz/ABC_inputs/HT29/ENCFF482YZP.bam	/oak/stanford/groups/engreitz/ABC_inputs/HT29/	/oak/stanford/groups/engreitz/ABC_inputs/HT29/SRR1057520.sorted.unique_alignment.bam	DHS	average		hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HT29/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HT29/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HT29/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HT29/Predictions_AvgHiC//EnhancerPredictions.bedpe
HAP1	HAP1	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/HAP1/ENCFF062UCS.bam,/oak/stanford/groups/engreitz/ABC_inputs/HAP1/ENCFF208ZVI.bam	/oak/stanford/groups/engreitz/ABC_inputs/HAP1/	/oak/stanford/groups/engreitz/ABC_inputs/HAP1/SRR6337821.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/HAP1/SRR6337822.sorted.unique_alignment.bam	DHS	average		hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HAP1/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HAP1/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HAP1/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/HAP1/Predictions_AvgHiC//EnhancerPredictions.bedpe
LNCAP	LNCAP	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/LNCAP/ENCFF002PZG.bam,/oak/stanford/groups/engreitz/ABC_inputs/LNCAP/ENCFF016VTV.bam	/oak/stanford/groups/engreitz/ABC_inputs/LNCAP/	/oak/stanford/groups/engreitz/ABC_inputs/LNCAP/SRR1015787.sorted.unique_alignment.bam	DHS	average		hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/LNCAP/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/LNCAP/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/LNCAP/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/LNCAP/Predictions_AvgHiC//EnhancerPredictions.bedpe
H7	H7	ENCODE-Loh2013	/oak/stanford/groups/engreitz/ABC_inputs/H7/ENCFF373NBK.bam,/oak/stanford/groups/engreitz/ABC_inputs/H7/ENCFF406AXZ.bam	/oak/stanford/groups/engreitz/ABC_inputs/H7/	/oak/stanford/groups/engreitz/ABC_inputs/H7/SRR1036364.sorted.unique_alignment.bam	DHS	average		hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H7/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H7/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H7/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/H7/Predictions_AvgHiC//EnhancerPredictions.bedpe
LoVo	LoVo	ENCODE-Liu2017	/oak/stanford/groups/engreitz/ABC_inputs/LoVo/ENCFF695UPR.bam,/oak/stanford/groups/engreitz/ABC_inputs/LoVo/ENCFF828MWE.bam	/oak/stanford/groups/engreitz/ABC_inputs/LoVo/	/oak/stanford/groups/engreitz/ABC_inputs/LoVo/SRR3737481.sorted.unique_alignment.bam	DHS	average		hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/LoVo/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/LoVo/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/LoVo/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/LoVo/Predictions_AvgHiC//EnhancerPredictions.bedpe
NCCIT	NCCIT	Fulco2019-Fuentes2018		/oak/stanford/groups/engreitz/ABC_inputs/NCCIT/NCCIT.bwa.sorted.bam.MarkDuplicates.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/NCCIT/NCCIT_WT_H3K27ac_bwa_merged.sorted.MarkDuplicates.unique_alignment.bam	ATAC	average	/seq/lincRNA/RAP/External/Fuentes2018-LTR/RNASeq/DESeq/GSE111332_gene_counts.bad.names.removed.TPM.KRAB.ctrl.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/NCCIT/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/NCCIT/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/NCCIT/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/NCCIT/Predictions_AvgHiC//EnhancerPredictions.bedpe
MDA-MB-231	MDA-MB-231	Ampuja2017	/oak/stanford/groups/engreitz/ABC_inputs/MDA-MB-231/DnaseSeq_MDA_MB_231_vehicle.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/MDA-MB-231/	/oak/stanford/groups/engreitz/ABC_inputs/MDA-MB-231/MDA-MB-231_H3K27ac.sorted.unique_alignment.bam	DHS	average		hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MDA-MB-231/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MDA-MB-231/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MDA-MB-231/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/MDA-MB-231/Predictions_AvgHiC//EnhancerPredictions.bedpe
